"time","health"
6550,56.4367194
6555,56.4367194
6560,65.9866128
6565,64.5851671
6570,64.5851671
6575,64.5851671
6580,64.5851671
6585,64.5851671
6590,64.5851671
6595,65.9255078
6600,65.9255078
6605,65.9255078
6610,65.9255078
6615,65.9255078
6620,65.9255078
6625,56.4874618
6630,71.428816
6635,59.1429134
6640,64.5530188
6645,64.5530188
6650,64.5530188
6655,64.5530188
6660,64.5530188
6665,64.5530188
6670,67.195704
6675,67.195704
6680,67.195704
6685,67.195704
6690,61.7263722
6695,61.7263722
6700,61.7263722
6705,64.5322835
6710,60.3999796
6715,60.3999796
6720,58.9631536
6725,80.7527118
6730,80.7527118
6735,80.7527118
6740,80.7527118
6745,80.7527118
6750,80.7527118
6755,64.4468375
6760,64.4468375
6765,64.4468375
6770,56.3031671
6775,56.3031671
6780,56.3031671
6785,56.3031671
6790,56.3031671
6795,56.3031671
6800,63.0344939
6805,68.5204402
6810,67.2240547
6815,76.5460416
6820,76.5460416
6825,76.5460416
6830,76.5460416
6835,76.5460416
6840,75.328729
6845,75.328729
6850,75.328729
6855,75.328729
6860,75.328729
6865,58.9440848
6870,58.9440848
6875,58.9440848
6880,58.9440848
6885,58.9440848
6890,58.9440848
6895,59.3615885
6900,59.3615885
6905,59.3615885
6910,59.3615885
6915,59.3615885
6920,63.0617437
6925,63.0617437
6930,63.0617437
6935,62.9807922
6940,73.8719858
6945,73.8719858
6950,73.8719858
6955,73.8719858
6960,73.8719858
6965,73.8719858
6970,60.2532367
6975,61.6629139
6980,68.5055528
6985,61.7322908
6990,76.6311644
6995,61.7131917
7000,61.7131917
7005,61.7131917
7010,61.5845682
7015,62.9676016
7020,62.9676016
7025,62.9676016
7030,62.9676016
7035,62.9676016
7040,67.1512438
7045,67.1512438
7050,64.4201735
7055,65.7440411
7060,65.7440411
7065,63.0270199
7070,55.3620592
7075,60.3340165
7080,60.3340165
7085,60.3340165
7090,60.3340165
7095,60.3340165
7100,60.3340165
7105,57.5502343
7110,60.7993033
7115,60.7993033
7120,60.7993033
7125,60.7993033
7130,60.7993033
7135,60.7993033
7140,62.9998408
7145,62.9998408
7150,77.9630817
7155,67.1447192
7160,68.4255911
7165,68.5740106
7170,59.2436609
7175,67.1150656
7180,63.0838122
7185,64.4110027
7190,61.783518
7195,63.115304
7200,67.4798271
7205,59.278415
7210,65.8364359
7215,68.5995737
7220,60.3934146
7225,65.7813101
7230,61.8204537
7235,74.0772178
7240,59.0653353
7245,63.1416852
7250,65.9404255
7255,83.5356052
7260,64.4779354
7265,64.4779354
7270,76.6913099
7275,76.6913099
7280,76.6913099
7285,76.6913099
7290,67.2775544
7295,67.2775544
7300,56.3326995
7305,56.3326995
7310,56.3326995
7315,56.3326995
7320,56.3326995
7325,56.3326995
7330,57.6979266
7335,57.6979266
7340,57.6979266
7345,57.6979266
7350,57.6979266
7355,57.6979266
7360,61.7553491
7365,68.6293485
7370,68.6293485
7375,68.6293485
7380,68.6293485
7385,68.6293485
7390,68.6293485
7395,66.0364664
7400,66.0364664
7405,66.0364664
7410,66.0364664
7415,66.0364664
7420,66.0364664
7425,54.85209
7430,64.6039733
7435,61.9390782
7440,64.5281728
7445,67.2618489
7450,57.8240352
7455,57.8240352
7460,68.5072496
7465,68.5072496
7470,68.5072496
7475,68.5072496
7480,67.3145204
7485,63.1745405
7490,63.1745405
7495,63.2390492
7500,63.1086885
7505,63.1753182
7510,63.1753182
7515,63.1753182
7520,60.3793958
7525,60.3793958
7530,60.3793958
7535,65.8792902
7540,65.8792902
7545,64.4969941
7550,59.0595783
7555,68.64566
7560,68.64566
7565,60.4057669
7570,60.4057669
7575,60.4057669
7580,60.4057669
7585,57.7474974
7590,57.7474974
7595,57.7474974
7600,57.7474974
7605,57.7474974
7610,57.7474974
7615,71.4638529
7620,71.4638529
7625,71.4638529
7630,71.4638529
7635,71.4638529
7640,71.4638529
7645,71.2836588
7650,63.3430893
7655,63.3430893
7660,63.3430893
7665,63.3430893
7670,71.3083533
