time,ax,ay,az,aT
4.0290,-0.2657,-0.4276,-2.8426,2.887
4.0350,-1.3216,-2.3867,-0.2438,2.739
4.0470,-1.3467,-3.0614,0.4922,3.381
4.0550,0.4571,0.6120,1.5956,1.769
4.0680,-0.4103,1.2069,-0.2109,1.292
4.0950,-0.1630,0.1062,0.1148,0.226
4.0960,0.9366,-0.2109,0.3961,1.039
4.0960,0.2727,-1.2887,1.4112,1.930
4.1100,1.1378,-1.1227,1.2890,2.053
4.1160,-0.8148,-0.2913,-2.0559,2.231
4.1290,-0.6110,-0.3836,-1.2000,1.400
4.1370,-0.0891,0.2433,0.8997,0.936
4.1510,0.5582,0.0613,0.6711,0.875
4.1570,-0.0665,1.6516,-0.6888,1.791
4.1670,0.6999,2.7910,-0.6949,2.960
4.2030,1.1274,-0.5600,-0.1754,1.271
4.2060,-0.6428,-0.8637,-0.7920,1.337
4.2080,0.8972,-1.8396,-0.6053,2.134
4.2080,-1.5243,-0.3319,1.6093,2.241
4.2280,-0.6900,0.8165,-0.7981,1.334
4.2300,-0.1575,1.6665,-0.5574,1.764
4.2350,-0.5918,-0.3252,0.3070,0.742
4.2500,0.9553,1.6435,-0.2149,1.913
4.2560,1.0787,1.9439,1.3738,2.613
4.2700,0.0810,0.4483,-0.0447,0.458
4.2790,-0.6536,-0.5432,-1.6547,1.860
4.3040,-0.1757,-2.2534,-1.1027,2.515
4.3070,0.1585,-0.3538,2.8298,2.856
4.3090,0.9257,1.0702,0.4392,1.482
4.3150,0.1360,1.3254,-0.0456,1.333
4.3300,-0.1003,0.8887,-0.2371,0.925
4.3350,1.4048,-0.1592,1.3097,1.927
4.3490,2.1537,-0.8367,3.2897,4.020
4.3550,1.4654,-1.0880,-0.0805,1.827
4.3740,-0.2535,-1.0714,0.0687,1.103
4.3760,-0.3570,0.1869,0.4992,0.642
4.3870,0.4770,-0.3280,0.7433,0.942
4.4030,-0.1575,0.2104,-0.3522,0.439
4.4070,0.9209,1.5785,-0.8993,2.037
4.4150,1.1749,1.6008,0.6726,2.096
4.4290,-0.5558,0.7621,-0.3424,1.003
4.4360,1.1849,-2.0135,3.0479,3.840
4.4490,0.5020,-2.0289,-0.4729,2.143
4.4560,-0.8163,-1.4906,1.0257,1.985
4.4880,-1.3313,0.7558,-2.0750,2.579
4.4920,0.1204,2.0410,-1.0359,2.292
4.4950,-1.0331,-1.0903,1.6230,2.211
4.4960,0.6303,0.7605,-0.6418,1.178
4.5110,0.9448,1.4921,2.6442,3.180
4.5160,-0.0975,0.1816,-1.3361,1.352
4.5280,-0.3932,-1.3547,-2.0389,2.479
4.5360,-1.5812,-2.0374,0.7814,2.695
4.5470,-0.1278,-1.4616,2.1711,2.620
4.5560,0.9039,1.2929,0.1466,1.584
4.5680,0.3334,1.4487,-2.2691,2.713
4.6060,-0.0708,-0.1408,0.3382,0.373
4.6070,0.2859,-0.9719,1.8418,2.102
4.6070,0.5085,-2.1380,2.4583,3.297
4.6080,0.7557,-0.9103,0.9677,1.528
4.6280,0.4655,-0.2424,-2.1413,2.205
4.6280,-2.5475,-1.2160,-0.0992,2.825
4.6350,0.1588,1.9072,-1.2641,2.294
4.6480,0.8490,0.8865,2.5930,2.869
4.6560,0.9869,2.1544,0.4071,2.404
4.6690,0.6827,1.1944,-0.5182,1.470
4.6760,-0.2034,1.4730,-1.5284,2.132
4.7030,-0.3506,-1.6008,-1.1068,1.978
4.7060,0.5970,-1.5157,1.6070,2.288
4.7080,-0.7612,-1.2525,1.2012,1.895
4.7160,-0.4933,1.4401,-1.7545,2.323
4.7300,-1.2533,0.9450,-0.8651,1.792
4.7350,-0.8089,-0.4100,0.2364,0.937
4.7500,0.7036,0.0584,0.2005,0.734
4.7550,0.3209,0.9556,2.2273,2.445
4.7870,0.8285,0.3793,0.6890,1.142
4.7880,-0.0730,-0.8384,-5.0882,5.157
4.7880,-2.1275,-1.9135,0.5333,2.911
4.7960,-2.0457,-1.7432,0.9342,2.845
4.8070,0.6322,3.1764,-0.1984,3.245
4.8160,-0.3236,0.8457,-0.5814,1.076
4.8310,-0.5947,-0.0393,-1.1762,1.319
4.8370,-0.7268,-0.6944,-0.1897,1.023
4.8480,0.2905,-1.2180,0.8446,1.510
4.8560,0.0962,-1.0054,1.7041,1.981
4.8710,-1.1749,-0.9529,-1.0577,1.846
4.8760,-0.9251,1.0422,-2.4367,2.807
4.9090,-0.3950,-0.1271,-1.2574,1.324
4.9110,-0.6229,0.3269,-0.7280,1.012
4.9130,1.8562,2.6231,0.9493,3.351
4.9160,1.1920,2.1078,-1.1527,2.682
4.9290,-0.1893,0.5406,-0.5744,0.811
4.9360,-0.0553,-1.2702,-0.6819,1.443
4.9500,0.5619,-1.6390,1.3125,2.174
4.9570,-1.3887,-0.3989,1.2035,1.880
4.9720,-0.0229,1.1992,-1.3212,1.784
4.9760,-0.7056,-0.3501,0.8529,1.161
5.0150,-0.0901,-0.3478,-0.3273,0.486
5.0350,-0.0910,-0.5279,0.5334,0.756
5.0370,0.4482,1.0909,1.3894,1.822
5.0380,-0.1337,-0.9342,-2.6496,2.813
5.0390,-1.0686,-0.7494,-0.9007,1.586
5.0410,-0.8745,-1.2242,-3.1405,3.482
5.0470,-1.0713,-0.0279,0.6448,1.251
5.0560,1.1559,1.6653,1.7034,2.648
5.0670,-0.8169,1.7254,-0.1401,1.914
5.0750,2.6580,1.6414,1.2165,3.352
5.0960,-0.8738,-0.5081,0.2912,1.052
5.0970,0.4595,-3.0231,1.8966,3.598
5.1070,0.6230,-0.7801,0.9830,1.401
5.1160,-0.8029,-0.9198,-0.2035,1.238
5.1270,-0.6038,1.0084,-2.3369,2.616
5.1350,0.1544,-0.5044,0.5589,0.769
5.1520,0.3936,0.9000,1.2365,1.579
5.1560,1.1452,1.9073,-0.4718,2.274
5.1920,0.8734,1.0371,2.1080,2.506
5.1940,-0.3442,0.8834,-2.8876,3.039
5.1960,0.5841,-1.7355,1.0689,2.120
